Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail
Bachfischer;Bösenbacherstr. 5;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 5111;bachfischer.ewald@gmail.com
Bachseppl;Aichberg 44;8552;Aichberg;AT;Steiermark;Weststeiermark;+43 3466 42270;
Bauer;Kranachberg 22;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 444;weingut@bauer-gamlitz.at
Benda;Burgstall 28;8452;Großklein;AT;Steiermark;Südsteiermark;+43 664 6364788;franz@bendawein.at
Bernhart;Hofberg 61;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 3153 8379;bernhart@buschenschank.at
Bio-Weinbau Gitta Rupp & Söhne;Ewitsch 46;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 4017;g.rupp@bio-gusto.at
Bioweingut Thünauer;Eichberg 158;8453;Sankt Johann im Saggautal;AT;Steiermark;Südsteiermark;+43 664 5337083;weinbau.thuenauer@gmail.com
Birnstingl;Kranach 70;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 6903;office@weingut-birnstingl.at
Birnstingl Manfred;Pössnitz 88;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6392;weingut@birnstingl.at
Bockmoar;Bockberg 1;8410;Wildon;AT;Steiermark;Südsteiermark;+43 3182 2534;weingut@bockmoar.at
Brandstätter Kraus;Kleegraben 87;8262;Ilz;AT;Steiermark;Vulkanland Steiermark;+43 664 1303264;wein@wbk.co.at
Breitenberger;Kaibing 71;8221;Kaibing;AT;Steiermark;Vulkanland Steiermark;+43 3113 8771;karl@breitenbergerwein.at
Brolli-Arkadenhof;Eckberg 43;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2341;weingut@brolli.at
Brunner;Kleegraben 15;8262;Ilz;AT;Steiermark;Vulkanland Steiermark;+43 3385 7715;info@weinhof.cc
Bruno Klimbacher;Klöchberg 6;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2294;bruno.weine@gmx.at
Bscheider;Hart 28;8443;Gleinstätten;AT;Steiermark;Südsteiermark;+43 3457 2570;
Bullmann;Ratsch an der Weinstrasse 79;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 316 681810;weingut@bullmann.at
Burger;Gschmaier 84;8265;Großsteinbach;AT;Steiermark;Vulkanland Steiermark;+43 3386 8602;info@burger-weine.at
Buschenschank zur Laube;Seibersdorf 19;8423;Sankt Veit am Vogau;AT;Steiermark;Südsteiermark;+43 3453 2459;
Bäuchel;Schilcherstrasse 3;8562;Mooskirchen;AT;Steiermark;Weststeiermark;+43 3137 2690;finz.weine@gmail.com
Casutt;Kranachberg 17;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 5356;
Josef Scharl - Charakterweine;Plesch 1;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2314;josef@weinhof-scharl.at
Christiner;Oberkornbach 23;8334;Oberkornbach;AT;Steiermark;Vulkanland Steiermark;+43 3152 5042;
Der Zweiger;Gießenberg 24;8562;Mooskirchen;AT;Steiermark;Weststeiermark;+43 3137 2318;info@zweiger.at
Deutsch;Untergreith 46;8160;Mitterdorf an der Raab;AT;Steiermark;;+43 3172 38266;wein@weinhof-deutsch.at
Deutsch-Maier;Wildbachberg 16;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3462 7727;
Deutschmann (Glanz);Glanz 46;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 312;office@wein-deutschmann.at
Deutschmann (Bergegg);Bergegg;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3463 2453;info@gamser-winzerstube.at
Dietl;Dörfl 13;8333;Riegersburg;AT;Steiermark;Vulkanland Steiermark;+43 664 4390168;info@dietl-wein.at
Dr. Valentina Dietrich;Gießelsdorf 41;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 650 2802940;grape@drdietrich.at
Leopold Dietrich;Eckberg 9;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4203;weingut@leopold-dietrich.at
Dietrich vulgo Tischler;Sernau 13;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 5039323;info@weingut-dietrich.at
Dokter;Steinberg 8;8563;Ligist;AT;Steiermark;Weststeiermark;+43 3143 3848;dokter@buschenschank.cc
Domaines Kilger Wein GmbH;Eckberger Weinstraße 32;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3452 22244;mkremser@domaines-kilger.com
Domittner - Klöcherhof;Klöch 102;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 664 4055755;weingut@domittner.at
Don Leo;Giesselsdorf 69;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 9130333;office@grenzlandhof.at
Dorner (Grazer Straße);Grazer Straße 14;8480;Mureck;AT;Steiermark;Vulkanland Steiermark;+43 664 4974822;office@weingut-dorner.at
Dorner (Reiteregg);Reiteregg 44;8151;Hitzendorf;AT;Steiermark;;+43 3123 2288;
Dreisiebner (Sulztal);Sulztal 44;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2809;
Dreisiebner (Kranach);Kranach 23;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 482;
Dreisiebner (Ottenberg);Ottenberg 15;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2122;
Dreisiebner Stammhaus;Sulztal an der Weinstrasse 35;8461;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2590;stammhaus@dreisiebner.com
Dunkl;Nägelsdorf 24;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7729;info@dunkl-weine.com
Dworschak;Pössnitz/Pockenbergstrasse 54;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 436;office@weinbau-dworschak.at
Eckfasil-Kolleritsch;Aichegg 54;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3467 7527;
Edelsbrunner;Hof-Neustift 87;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3473 7816;
Eibel;Schiessl 12;8361;Hatzendorf;AT;Steiermark;Vulkanland Steiermark;+43 3155 3930;
Eibenhof;Glanzer Keller Straße 31;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6259;info@weinguteibenhof.at
Elsnegg;Eckberg 26;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 4812;weingut@elsnegg.at
Engel;Pichla 20;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2533;engel@engelweine.at
Eory;Pössnitz 65;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 360;weingut.eory@aon.at
Erlacher;Eckgrabenweg 93;8311;Markt Hartmannsdorf;AT;Steiermark;Vulkanland Steiermark;+43 3114 2532;wein-gaestehof@erlacher.cc
Ertl;Rassach 27;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3463 4825;
Erzherzog Johann Weine;Gamlitzerstraße 103;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2423;office@erzherzog.com
Eva Lambauer Buschenschank;Eckberg 37;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2570;eva.lambauer@bacchuskeller.at
Falter Ego Grazer Stadtwein;Janzgasse 4;8020;Graz;AT;Steiermark;;+43 664 2142431;wein@falterego.at
Familie Heschl;Rittschein 37;8362;Söchau;AT;Steiermark;Vulkanland Steiermark;+43 3387 2633;buschenschank.fam.heschl@aon.at
Fasch;Kohlgraben 9;8362;Söchau;AT;Steiermark;Vulkanland Steiermark;+43 3382 54451;wein-jofa@aon.at
Fassold;Neusetz 27;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7144;weinhof@fassold.at
Fauster;Gießeldorf 3;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2343;info@weinhof-fauster.at
Faßwald;Glojach 35;8421;Glojach;AT;Steiermark;Südsteiermark;+43 3184 8296;
Feibel Alois;Bad Gams 18;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3463 2685;
Felberjörgl;Höch am Demmerkogel 47;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3189;info@felberjoergl.at
Ferlinz Franz;Eckberg 22;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2392;
Firmenich, Steinberghof;Wielitsch 62;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 5403524;weingut@firmenich.at
Fischer;Plesch 3;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 660 5449776;info@fischer-weine.at
Florian;Unterberg 54;8143;Dobl-Zwaring;AT;Steiermark;;+43 3136 52626;info@weinhofflorian.at
Flurlweber;Göttling 20;8403;Lang;AT;Steiermark;Südsteiermark;+43 3182 7186;buschenschank@flurlweber.at
Franz Strohmeier;Lestein 148;8511;Stainz;AT;Steiermark;Weststeiermark;+43 676 3832430;office@strohmeier.at
Frauwallner;Wittmannsdorf 14;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3477 2174;weingut@frauwallner.com
Frauwallner Straden;Karbach 7;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7137;weingut@frauwallner.com
Freiberger Franz;Bad Waltersdorf 170;6870;Bezau;AT;Steiermark;;+43 3333 2550;
Friedrich (Langegg an der Schilcherstraße);Langegg an der Schilcherstraße 18;8511;Sankt Stefan ob Stainz;AT;Steiermark;Weststeiermark;+43 3463 81252;info@friedrich-schilcher.at
Friedrich (Obertiefenbach);Obertiefenbach 161;8224;Kaindorf;AT;Steiermark;Vulkanland Steiermark;+43 3333 2210;office@familie-friedrich.at
Fröhlich;Altenberg 51;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 72493;info@buschenschank-froehlich.at
Frühwirth (Deutsch-Haseldorf);Deutsch-Haseldorf 46;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2338;weingut@fruehwirth.at
Frühwirth (Klapping);Klapping 5;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2255;office@weinbau-fruehwirth.com
Fuchs - Weine;Glanz 6;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 387;office@fuchs-weine.at
Fuchs-Maierhofer;Gundersdorf 3;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81649;
Gamser;Glanz 61;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6421;genuss@gamser.at
Gangl;Deutsch Haseldorf 11;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2288;info@rebe1.at
Garber (Etzendorf);Etzendorf 32;8551;Wies;AT;Steiermark;Weststeiermark;+43 664 5057025;info@wein-garber.at
Garber (Aichberg);Aichberg 36;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 42736;office@buschenschank-garber.at
Georgi-Schlössl;Ehrenhausen 54;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 25777;
Georgiberg;Wielitsch 54;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 20243;office@weingut-georgiberg.at
Germuth Heidi und Herbert;Glanzer Kellerstrasse 34;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 676 9482891;wein@oberergermuth.com
Germuth Stammhaus;Glanzer Kellerstrasse 24;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 676 9027515;weingut@germuth.com
Gerngross (Hochbrudersegg);Hochbrudersegg 11;8441;Fresing;AT;Steiermark;Südsteiermark;+43 3456 2922;info@weingut-gerngross.at
Gerngross (Nestelberg);Nestelberg 73;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2172;
Gerstl Patritz;Pöllau 45;8311;Markt Hartmannsdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 2532826;
Giessauf-Nell;Klöch 63;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 7265;giessauf-nell@aon.at
Gingl;Mahrensdorf 22;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3157 2432;
Glatz;Wagerberg 25;8271;Bad Waltersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 2228995;info@glatz-wein.at
Gollenz;Laasen 2;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 664 9444413;info@dergollenz.at
Gollmann;Pichla 29;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 2415;weinhof-gollmann@aon.at
Gollob;Mattelsberg 63;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 3046;
Grabin;Hauptstraße 40;8423;Labuttendorf;AT;Steiermark;Südsteiermark;+43 3184 2324;weingut@grabin.at
Grabner;Reith 16;8311;Markt Hartmannsdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 2231671;grabner@weinhof-grabner.at
Grasmuck Karl- Heinz;Obere Hauptstraße 51;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2278;weingut@grasmuck.net
Grebenz;Kleinklein 10;8452;Großklein;AT;Steiermark;Südsteiermark;+43 664 6589573;office@grebenz.at
Grenzweinkeller;Kellerstraße Glanz 23;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 393;grenzweinkeller@aon.at
Grießbacher (Risola);Risola 7;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 6572555;wein@griessbacher.at
Grießbacher (Jamm);Jamm 64;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 664 3953851;info@weinbau-griessbacher.at
Grill;Kranach 48;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 464;office@weingutgrill.at
Grinschgl;Gundersdorf 50;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 813012;
Gross & Gross;Ratsch 26;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 664 1450300;hello@grossundgross.at
Gross;Ratsch an der Weinstraße 26;8461;Ratsch an der Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2527;weingut@gross.at
Gräflich Stürgkh'sches Weingut;Ölberg 29;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2223;cari.seyffertitz@drei.at
Gröbacher;Perbersdorf 1;8423;St. Veit/Südsteiermark;AT;Steiermark;Südsteiermark;;weingut@groebacherwein.at
Gründl Stefan - Labuttendorf;Hauptstrasse 45;8423;Labuttendorf;AT;Steiermark;Südsteiermark;+43 3184 2318;info@gruendl-labuttendorf.at
Gründl vulgo Stefflbauer;Sonnenstraße 11;8423;St. Veit/Südsteiermark;AT;Steiermark;Südsteiermark;+43 664 5372317;info@weingut-gruendl.at
Gschaar;Gruisla 44;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 664 9920529;office@gschaar.at
Gutjahr;Neurath 33;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3152;office@weingut-gutjahr.at
Gwaltl;Burgfeld 7;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 664 3837124;weinhof-gwaltl@aon.at
Gölles;Hatzendorf 44a;8361;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 3823;office@weinbau-goelles.at
Haarer;Waltra 12;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2216;
Hable-Gangl;Wieden 47;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 7853;
Hack-Gebell;Eckberg 100;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3454 303;office@weingut-hack.at
Hagen Holger;Wagendorferstraße 55;8423;Sankt Veit am Vogau;AT;Steiermark;Südsteiermark;+43 664 6385218;weingut@holgerhagen.eu
Hainzl Herbert;Aichegg 46;8541;Schwanberg;AT;Steiermark;Weststeiermark;+43 3467 7387;buschenschank-kogelhohl@aon.at
Hainzl-Jauk;Grazerstrasse 231;8523;Frauental an der Laßnitz;AT;Steiermark;Weststeiermark;+43 3462 2852;kontakt@hainzl-jauk.at
Haring vulgo Pichlippi;Hörmsdorf 48;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 42381;info@pichlippi.at
Harkamp;Hollerbrandweg 6;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 76420;anna@harkamp.at
Hartinger;Hartl 23;8362;Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;+43 664 9444001;office@weinhof-hartinger.at
Hatzl;Jörgen 19;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 3475 7189;
Heinrich (Klöch);Klöch 7;8493;Klöch;AT;Steiermark;Vulkanland Steiermark;+43 3475 2282;
Heinrich (Herrnberg);Herrnberg 53;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 4145100;weingut@byheinrich.com
Weingut Heinrich;Großwilfersdorf 64;8263;Großwilfersdorf;AT;Steiermark;Vulkanland Steiermark;+43 664 2229286;weingut@byheinrich.com
Herberstein;Buchberg 1;8223;Stubenberg;AT;Steiermark;Vulkanland Steiermark;+43 3176 8825;office@herberstein.co.at
Herbstwein;Krottendorf 118;8563;Ligist;AT;Steiermark;Weststeiermark;+43 664 5042607;office@herbstwein.com
Herk;Hinterleitenstraße 321 b;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 38093;
Hermann Franz;Perlsdorf 4;8341;Paldau;AT;Steiermark;Vulkanland Steiermark;+43 3151 2800;weinbau.hermann@gmx.at
Hernach;Roschitzweg 84;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6178;office@hernachroschitz.at
Herrenhof Lamprecht;Pöllau bei Gleisdorf 43;8311;Markt Hartmannsdorf;AT;Steiermark;Vulkanland Steiermark;+43 699 17149689;office@herrenhof.net
Herrgott;Kirchberg 101;8511;Stainz;AT;Steiermark;Weststeiermark;+43 664 3813977;biohof@herrgott.at
Hiden;Hochgrail 66;8511;Sankt Stefan ob Stainz;AT;Steiermark;Weststeiermark;+43 664 1919337;office@weingut-hiden.at
Hirschmugl;Risola 8;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2191;weinhof-hirschmugl@gmx.at
Hirschmugl - Domäne am Seggauberg;Am Plöckelberg 6;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 86300;info@hirschmugl-domaene.at
Hirzer;Pössnitz 38;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 343;
Hochhold Andreas;Buchberg 129;8274;Hartberg Umgebung;AT;Steiermark;Vulkanland Steiermark;+43 3332 8410;
Hochstrasser;Marktplatz;8562;Mooskirchen;AT;Steiermark;Weststeiermark;+43 3137 2232;
Hof Maximilian;Kamerliterplatz 4C;8010;Graz;AT;Steiermark;;+43 664 1570682;office@hofmaximilian.at
Hofer;Sausal 71;8443;Gleinstätten;AT;Steiermark;Südsteiermark;+43 3456 2540;office@hofer-weingut.at
Hofladen Hirschmann;Muggendorf 4;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 8348;
Hofmann;Sulztal 11;8461;Gamlitz;AT;Steiermark;Südsteiermark;+43 660 4506178;online.hofmann@gmail.com
Holler;Am Rosenberg 20;8472;Straß in Steiermark;AT;Steiermark;Südsteiermark;+43 3453 5078;verkauf@holler-weine.at
Hopfer;Pichla 90;8355;Tieschen;AT;Steiermark;Vulkanland Steiermark;+43 664 4574655;kontakt@hopfer-weine.at
Horwath;Muggendorf 24;8345;Straden;AT;Steiermark;Vulkanland Steiermark;+43 3473 227;
Huber;Pernreith 12;8342;Gnas;AT;Steiermark;Vulkanland Steiermark;+43 3152 2974;
Hutter;Reiting 2;8330;Feldbach;AT;Steiermark;Vulkanland Steiermark;+43 3152 4422;franz@hutter-wein.at
Höber;Sichauf 17;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2736;
Hödl;Risola 6;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2265;
Höfer;Höhenweg 22;8044;Weinitzen;AT;Steiermark;;+43 3132 2629;hoefer@genusstreffpunkt.at
Höfler;Gschmaier 44 Höfler;8213;Gschmaier;AT;Steiermark;Vulkanland Steiermark;+43 664 4307910;hoefler.matthias@gmx.at
Höllbauer;Barhoferweg 45;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 5861;
Höller (Reiteregg);Reiteregg 28;8151;Hitzendorf;AT;Steiermark;;+43 3123 2297;
Höller (Rosenhof);Rosenhof 54;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81427;
Hügellandweinhof Pitzl;Wiersdorf 25;8093;Sankt Peter am Ottersbach;AT;Steiermark;;+43 3477 2149;
Hütter;Waltra 27;8354;Sankt Anna am Aigen;AT;Steiermark;Vulkanland Steiermark;+43 3158 2262;weingut@huetter.co
Interroir Wines GmbH;Eckberg 16;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 424332;joachim.skoff@interroir.com
Jagersberger Bioweinwelt;in der Au 263;8942;Wörschach;AT;Steiermark;;+43 664 9518268;
Jandl;Vockenberg 33;8223;Stubenberg;AT;Steiermark;Vulkanland Steiermark;+43 3176 8370;
Jauk;Schloßweg 45;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 4431;mail@buschenschank-jauk.at
Jauk Christian;Brunn 45;8544;Pölfing-Brunn;AT;Steiermark;Weststeiermark;+43 3465 2443;christian@jauk-wein.at
Jauk-Wieser;Schloßweg 51;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 676 5840100;weingut@jauk-wieser.at
Jaunegg Daniel;Eichberg-Trautenburg 160;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3455 6754;weingut@jaunegg.at
Jud Erich;Schilchergasse 8;8510;Stainz;AT;Steiermark;Weststeiermark;+43 3463 3847;
Juritsch;Pössnitz 85;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 6393;
Jöbstl;Sernau 10;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3183 8409;keller@joebstl-weingut.at
Jöbstl Martin;Aibl 8;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 43966;
Jöbstl | Schilcherei®;Am Schilcherberg 1;8551;Wies;AT;Steiermark;Weststeiermark;+43 3466 43210;info@joebstl.eu
KAARRIEGEL;Rettenberg 97;8444;Sankt Andrä-Höch;AT;Steiermark;Südsteiermark;+43 664 2532020;wein@kaarriegel.at
KTCN - K Tinnacher & C Neumeister;Steinbach 68;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 3453 2142;ktcn@persiflage.at
Kahr;Petzelsdorf 28;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 2044;office@weinbau-kahr.at
Kainrath;Ziegenberg 17;8262;Ilz;AT;Steiermark;Vulkanland Steiermark;+43 3385 7517;weinhof.kainrath@gmx.at
Kaiser;Greith 20;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 3232;
Kalischnik- Petrowitsch;Glanz 9;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 420;
Kappel;Steinriegel 25;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2347;office@weinhof-kappel.at
Kapper;Brunn 14;8350;Fehring;AT;Steiermark;Vulkanland Steiermark;+43 3155 2417;office@weingut-kapper.at
Kapun;Kranach 30;8463;Leutschach/Weinstraße;AT;Steiermark;Südsteiermark;+43 3454 488;
Karl Melcher;Sernau 38;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 3918566;weingut@karl-melcher.at
Karl Riegelnegg;Sernau 21;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 5138397;weingut@riegelnegg-karl.at
Karmeliten;Wielitsch 75;8461;Ehrenhausen/Weinstraße;AT;Steiermark;Südsteiermark;+43 3453 2975;
Kickenweiz;Wetzelsdorf 24;8330;Feldbach;AT;Steiermark;Vulkanland Steiermark;+43 3152 4110;
Kiefer;Hörmsdorf 88;8552;Eibiswald;AT;Steiermark;Weststeiermark;+43 3466 42496;
Kieslinger;Haselbrunn 7;8430;Leibnitz;AT;Steiermark;Südsteiermark;+43 3452 82780;office@weingut-kieslinger.at
Kirchleitner;Grossklein 55;8452;Großklein;AT;Steiermark;Südsteiermark;+43 3456 2834;
Familie Kirchleitner;Großklein 55;8452;Großklein;AT;Steiermark;Südsteiermark;+43 664 4101450;kurtkirchleitner@gmx.at
Kitzeckmüller;Steinriegel 10;8442;Kitzeck im Sausal;AT;Steiermark;Südsteiermark;+43 3456 2302;
Klapsch;Labitschberg 8;8462;Gamlitz;AT;Steiermark;Südsteiermark;+43 664 1822931;weingut@klapsch.eu
Kleinhapl;Feldbaum 51;8524;Stainz;AT;Steiermark;Weststeiermark;+43 3462 2876;
Kleinoscheg Sekt- und Weinhandels GmbH;Heinz-Stoiser-Strasse 10;8200;Gleisdorf;AT;Steiermark;Vulkanland Steiermark;+43 3112 36200;kleinoscheg@kleinoscheg.com
Kleinschuster;Fehringer Strasse 124;8280;Fürstenfeld;AT;Steiermark;Vulkanland Steiermark;+43 3383 2237;info@kleinschuster.com
Klement Josef u. Maria;Gundersdorf 52;8511;Stainz;AT;Steiermark;Weststeiermark;+43 3463 81201;josef.klement@lk-stmk.at
Klinger;Wildbachberg 86;8530;Deutschlandsberg;AT;Steiermark;Weststeiermark;+43 3462 4140;
